Year,Make,Model,Trim,Body,BodyConvertible,BodyCoupe,BodyGranCoupe,BodyPickup,BodyRoadster,BodySedan,BodySUV,BodyWagon,StartingMSRP,0-60 MPH,Drive Train,drivetrain2WD,drivetrainAWD,drivetrainHybrid,drivetrainFWD,drivetrainRWD,MPG,Engine,EngineNum,Has Turbos,Engine Size (L),GHE,MPGe,HP,Auto,Cab,Range (mi),Top Speed,Origin Country
2021,Honda,CR-V,LX,SUV,0,0,0,0,0,0,1,0,25350,,2WD,1,0,0,0,0,,CVT,5,,,,,190,,,,,Japan
2021,Honda,CR-V,Special Edition,SUV,0,0,0,0,0,0,1,0,26550,,2WD,1,0,0,0,0,,CVT,5,,,,,190,,,,,Japan
2021,Honda,CR-V,EX,SUV,0,0,0,0,0,0,1,0,27860,,2WD,1,0,0,0,0,,CVT,5,,,,,190,,,,,Japan
2021,Honda,CR-V,EX-L,SUV,0,0,0,0,0,0,1,0,30450,,2WD,1,0,0,0,0,,CVT,5,,,,,190,,,,,Japan
2021,Honda,CR-V,Touring,SUV,0,0,0,0,0,0,1,0,33650,,2WD,1,0,0,0,0,,CVT,5,,,,,190,,,,,Japan
2022,BMW,430i xDrive Convertible,,Convertible,1,0,0,0,0,0,0,0,55300,5.8,AWD,0,1,0,0,0,33,I4,6,TwinPower Turbo,2,Gas,,255,,,,,Germany
,Mercedes-Benz,C 300 4MATIC Cabriolet,,Convertible,1,0,0,0,0,0,0,0,56700,6.2,AWD,0,1,0,0,0,,I4,6,Turbo,2,Gas,,255,,,,,Germany
2022,BMW,M440i xDrive Convertible,,Convertible,1,0,0,0,0,0,0,0,66200,4.7,AWD,0,1,0,0,0,31,I6,7,M TwinPower Turbo,3,Gas,,382,,,,,Germany
2022,BMW,M4 Competition xDrive Convertible,,Convertible,1,0,0,0,0,0,0,0,86300,3.6,AWD,0,1,0,0,0,23,I6,7,M TwinPower Turbo,3,Gas,,503,,,,,Germany
2022,BMW,840i xDrive Convertible,,Convertible,1,0,0,0,0,0,0,0,97300,4.6,AWD,0,1,0,0,0,,I6,7,TwinPower Turbo,3,Gas,,335,,,,,Germany
